661.7,647.6,562.6,480.0,650.1
714.5,807.4,419.0,335.5,726.9
895.3,1015.6,269.0,208.0,898.2
1114.9,1038.0,159.5,114.6,1119.0
1173.5,921.6,73.8,46.4,1169.3
1014.5,747.8,32.3,18.8,971.0
806.0,696.6,17.1,17.5,795.5
747.1,672.7,20.1,20.5,721.4
728.3,764.3,22.0,27.8,730.9
829.6,1107.9,40.2,49.1,845.9
1219.2,1693.5,68.1,79.1,1252.4
1777.2,2148.0,105.1,128.4,1828.5
2222.1,1877.0,148.1,174.9,2202.8
1934.8,1214.7,188.8,220.1,1832.4
1218.3,856.9,237.4,281.6,1136.9
820.2,657.0,276.6,317.8,779.8
657.5,589.6,322.8,380.0,630.0
567.9,506.8,358.6,407.8,549.2
510.6,473.1,402.9,467.9,496.5
471.8,435.8,437.0,481.7,456.7
443.3,422.2,464.9,541.9,435.3
449.3,410.6,484.8,568.7,434.1
425.7,399.9,516.0,596.2,425.1
425.1,400.7,557.7,622.9,407.0
409.5,371.4,578.1,661.6,394.1
395.4,364.9,580.6,668.2,382.9
,,614.4,686.4,
,,609.3,690.1,
,,621.5,714.1,
,,616.6,700.9,
,,627.5,711.9,
,,635.6,706.4,
,,653.8,722.0,
,,648.1,708.2,
,,653.4,730.5,
,,658.3,737.6,
,,731.4,800.8,
,,875.4,978.5,
,,1099.4,1212.7,
,,1198.9,1269.9,
,,1032.4,1061.4,
,,821.6,827.7,
,,732.4,761.6,
,,742.8,756.5,
,,815.7,890.6,
,,1206.3,1292.5,
,,1787.1,1866.6,
,,2209.3,2187.6,
,,1916.8,1792.5,
,,1205.0,1105.0,
,,804.4,763.0,
,,638.7,624.5,
,,554.9,535.9,
,,495.7,489.8,
,,470.6,460.0,
,,444.7,453.9,
,,428.2,423.7,
,,428.3,427.3,
,,409.5,423.2,
,,401.1,410.2,
,,382.9,392.9,
,,374.7,379.9,
,,375.2,375.6,
,,361.3,362.5,
,,364.9,357.7,
,,341.2,344.3,
,,334.0,346.5,
,,324.7,320.3,
,,307.9,315.2,
,,294.5,297.6,
,,290.8,292.1,
,,279.7,278.0,
,,270.0,262.5,
,,262.3,253.9,
,,257.1,247.7,
,,246.1,241.7,
,,243.7,241.0,
,,229.7,229.2,
,,231.7,219.2,
,,225.1,213.5,
,,213.3,203.3,
,,208.7,204.9,
,,204.0,192.8,
,,207.0,179.9,
,,199.2,178.1,
,,186.7,177.2,
,,189.6,174.6,
,,175.9,160.5,
,,180.8,165.0,
,,179.3,161.0,
,,170.8,153.0,
,,157.0,146.0,
,,163.4,150.0,
,,160.3,142.3,
,,150.8,140.6,
,,149.2,133.2,
,,143.3,126.1,
,,145.7,128.2,
,,138.4,128.9,
,,142.2,130.2,
,,141.0,128.2,
,,146.0,132.6,
,,156.1,148.4,
,,178.9,169.7,
,,216.2,200.6,
,,276.1,249.1,
,,278.0,236.6,
,,206.8,184.7,
,,136.9,119.7,
,,120.0,114.5,
,,115.5,114.1,
,,117.0,107.8,
,,118.7,108.3,
,,108.0,98.5,
,,109.4,101.2,
,,106.8,96.4,
,,115.3,104.1,
,,115.3,107.3,
,,123.8,119.6,
,,155.4,151.2,
,,211.3,226.4,
,,380.8,359.3,
,,489.5,439.2,
,,448.4,377.3,
,,240.8,195.0,
,,116.2,98.3,
,,93.4,81.0,
,,87.0,80.8,
,,83.0,77.1,
,,79.4,74.8,
,,80.3,70.5,
,,79.6,75.7,
,,71.9,72.1,
,,74.3,66.6,
,,71.8,69.5,
,,72.1,66.6,
,,66.3,60.3,
,,68.5,62.2,
,,65.3,60.1,
,,67.9,57.8,
,,59.5,57.6,
,,60.3,57.2,
,,58.0,52.0,
,,56.1,55.2,
,,55.1,57.6,
,,58.3,51.2,
,,52.7,48.8,
,,52.4,51.7,
,,52.3,45.7,
,,51.4,50.7,
,,52.1,44.9,
,,49.0,49.8,
,,47.8,47.9,
,,48.5,44.1,
,,47.9,46.1,
,,46.4,40.4,
,,45.1,42.1,
,,45.9,43.9,
,,44.4,44.2,
,,44.3,38.5,
,,42.5,40.3,
,,43.6,40.2,
,,42.8,41.8,
,,43.4,35.9,
,,46.4,37.1,
,,39.3,37.4,
,,41.6,37.5,
,,38.3,36.4,
,,38.4,38.1,
,,39.6,42.0,
,,40.3,39.8,
,,43.4,40.1,
,,48.2,44.0,
,,55.6,51.1,
,,52.8,42.3,
,,41.5,36.1,
,,36.9,30.6,
,,35.1,29.7,
,,34.0,32.6,
,,36.7,31.0,
,,34.0,29.4,
,,31.5,32.3,
,,33.1,31.0,
,,28.1,29.2,
,,29.5,27.0,
,,30.2,29.7,
,,28.9,31.6,
,,29.2,29.3,
,,29.4,29.0,
,,29.4,29.9,
,,30.3,30.5,
,,28.9,31.0,
,,34.0,32.1,
,,32.8,36.3,
,,35.0,41.7,
,,38.5,41.1,
,,44.0,40.8,
,,49.4,44.3,
,,60.0,64.1,
,,73.8,63.4,
,,51.3,45.4,
,,33.5,34.7,
,,29.4,28.9,
,,27.0,28.7,
,,27.5,27.4,
,,28.0,28.1,
,,26.2,25.9,
,,23.1,24.9,
,,20.7,22.4,
,,26.2,23.7,
,,24.5,23.8,
,,23.6,21.7,
,,24.8,20.5,
,,22.3,21.1,
,,22.0,18.2,
,,24.1,18.4,
,,21.5,22.2,
,,20.9,22.3,
,,24.0,20.2,
,,17.6,22.2,
,,19.4,19.1,
,,20.3,21.2,
,,20.0,18.7,
,,19.4,19.3,
,,18.3,18.9,
,,19.0,20.3,
,,20.0,18.9,
,,17.3,18.6,
,,20.1,17.0,
,,19.0,19.0,
,,18.4,16.2,
