0.302,0.307,-0.615,0,-0.202,0.157
0.2,0.268,-0.603,0.002,-0.104,0.296
0.103,0.228,-0.509,0.013,-0.003,0.472
0.004,0.186,-0.405,0.022,0.004,0.486
-0.004,0.183,-0.306,0.03,0.105,0.672
-0.05,0.164,-0.211,0.042,0.216,0.85
-0.057,0.161,-0.107,0.055,0.306,1.007
-0.088,0.157,-0.003,0.064,0.403,1.115
-0.076,0.154,0.005,0.068,0.499,1.192
-0.086,0.15,0.109,0.085,0.598,1.257
-0.11,0.144,0.203,0.097,-0.32,0.06
-0.115,0.138,0.305,0.109,-0.38,0
-0.128,0.133,0.4,0.12,,
-0.146,0.127,0.507,0.129,,
-0.155,0.123,0.629,0.133,,
-0.174,0.116,0.708,0.133,,
-0.186,0.113,0.814,0.128,,
-0.207,0.107,,,,
-0.21,0.105,,,,
-0.309,0.075,,,,
-0.407,0.049,,,,
-0.511,0.031,,,,
-0.603,0.018,,,,
-0.698,0.009,,,,
-0.776,0.004,,,,
-0.865,0,,,,
